Frequency (MHz),Station
0.02,IND VTX1 Indian Navy
0.02,NOR JXN Noviken Sub comms
0.02,IND VTX2 Indian Navy
0.02,RUS RDL Russian Navy
0.02,IND VTX3 Indian Navy
0.02,IND VTX4 Indian Navy
0.02,BLR RJH69 Molodechno
0.02,KGZ RJH66 Bishkek
0.02,KGZ RJH66 Bishkek
0.02,RUS RJH63 Krasnodar
0.02,RUS RJH77 Arkhangelsk
0.02,RUS RJH99 Nizhni Novgorod
0.02,BLR RJH69 Molodechno
0.02,KGZ RJH66 Bishkek
0.02,KGZ RJH66 Bishkek
0.02,RUS RJH63 Krasnodar
0.02,RUS RJH77 Arkhangelsk
0.02,RUS RJH99 Nizhni Novgorod
0.03,BLR RJH69 Molodechno
0.03,KGZ RJH66 Bishkek
0.03,KGZ RJH66 Bishkek
0.03,RUS RJH63 Krasnodar
0.03,RUS RJH77 Arkhangelsk
0.03,RUS RJH99 Nizhni Novgorod
0.03,BLR RJH69 Molodechno
0.03,KGZ RJH66 Bishkek
0.03,KGZ RJH66 Bishkek
0.03,RUS RJH63 Krasnodar
0.03,RUS RJH77 Arkhangelsk
0.03,RUS RJH99 Nizhni Novgorod
0.03,BLR RJH69 Molodechno
0.03,KGZ RJH66 Bishkek
0.03,KGZ RJH66 Bishkek
0.03,RUS RJH63 Krasnodar
0.03,RUS RJH77 Arkhangelsk
0.03,RUS RJH99 Nizhni Novgorod
0.03,RUS RDL Russian Navy
0.04,ISL TFK US Navy Grindavik
0.06,USA WWVB Colorado
0.07,RUS RBU Time Signal
0.07,CHN BPC Time Signal
0.1,CHN BPL Time Signal
0.14,HNG EFR Teleswitch
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.58,IRN IRIB Voice of I.R.Iran
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.61,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.97,KOR KBS Hanminjok
0.97,KOR KBS Hanminjok
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.1,IRN IRIB Voice of I.R.Iran
1.1,IRN IRIB Voice of I.R.Iran
1.1,IRN IRIB Voice of I.R.Iran
1.1,IRN IRIB Voice of I.R.Iran
1.12,CHN CNR5 Cross-Strait Radio
1.12,CHN CNR5 Cross-Strait Radio
1.16,IRN IRIB Voice of I.R.Iran
1.16,IRN IRIB Voice of I.R.Iran
1.17,KOR KBS Hanminjok
1.17,KOR KBS Hanminjok
1.17,KOR KBS Hanminjok
1.17,KOR KBS World Radio
1.17,KOR KBS World Radio
1.17,KOR KBS World Radio
1.17,KOR KBS World Radio
1.19,PHL FEBC Manila
1.22,CHN CNR 7 Greater Bay Area
1.22,CHN CNR 7 Greater Bay Area
1.22,CHN CNR 7 Greater Bay Area
1.22,CHN CNR 7 Greater Bay Area
1.22,IRN IRIB Voice of I.R.Iran
1.32,IRN IRIB Voice of I.R.Iran
1.32,IRN IRIB Voice of I.R.Iran
1.32,IRN IRIB Voice of I.R.Iran
1.4,IRN IRIB Voice of I.R.Iran
1.45,IRN IRIB Voice of I.R.Iran
1.56,CHN CNR1 DIGITAL
1.56,KOR KBS World Radio
1.57,HKG FEBC Radio Liangyou
1.57,HKG FEBC Radio Liangyou
1.57,PHL FEBC Manila
1.57,PHL FEBC Manila
1.57,PHL FEBC Manila
1.62,FRO OXJ Trshavn Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,FRO OXJ Trshavn Radio
1.64,FRO OXJ Trshavn Radio
1.64,FRO OXJ Trshavn Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.76,FRO OXJ Trshavn Radio
1.87,GRL OYR Aasiaat Radio
1.87,GRL OYR Aasiaat Radio
1.87,GRL OYR Aasiaat Radio
1.87,GRL OYR Aasiaat Radio
1.87,GRL OYR Aasiaat Radio
1.87,GRL OYR Aasiaat Radio
1.87,GRL OYR Aasiaat Radio
1.87,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.9,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
1.93,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.0,GRL OYR Aasiaat Radio
2.05,ALS NOJ Fax Kodiak
2.05,ALS NOJ Fax Kodiak
2.05,ALS NOJ Fax Kodiak
2.05,ALS NOJ Fax Kodiak
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.05,CAN VAJ Prince Rupert Radio
2.06,AUS VMW Wiluna WA
2.06,ARG L3A Comodoro Rivadavia
2.06,ARG L3A Comodoro Rivadavia
2.06,ARG L3A Comodoro Rivadavia
2.06,ARG L3A Comodoro Rivadavia
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.09,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,GRL OYR Aasiaat Radio
2.12,CAN VCS Halifax Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.13,GRL OYR Aasiaat Radio
2.18,BEL OSU Oostende Radio
2.18,BER ZBM Bermuda Harbor
2.18,CAN VAJ Prince Rupert Radio
2.18,CAN VAJ Prince Rupert Radio
2.18,CAN VAJ Prince Rupert Radio
2.18,CAN VCF Les Escoumins QC
2.18,CAN VCF Les Escoumins QC
2.18,CAN VCO Sydney Radio NS
2.18,CAN VCS Halifax Radio
2.18,CAN VCP Placentia NL
2.18,CAN VCP Placentia NL
2.18,CAN VFF Iqaluit Radio
2.18,CAN VFF Iqaluit Radio
2.18,CAN VFF Iqaluit Radio
2.18,CAN VFF Iqaluit Radio
2.18,CAN VFF Iqaluit Radio
2.18,CAN VFF Iqaluit Radio
2.18,CAN VFF Iqaluit Radio
2.18,CAN VOJ Port aux Basques NL
2.18,CAN VOK Labrador Coastguard
2.18,CAN VOK Labrador Coastguard
2.18,CAN VOK Labrador Coastguard
2.18,CHL CBA Antofagasta Radio
2.18,CHL CBF Juan Fernandez R.
2.18,CHL CBM Magallanes Radio
2.18,CHL CBN Wollaston Radio
2.18,CHL CBP Puerto Montt Radio
2.18,CHL CBT Talcahuano Radio
2.18,CHL CBV Valparaiso Radio
2.18,CHL CBX Bahia Felix Radio
2.18,CHN XSJ Zhanjiang Radio
2.18,CHN XSL Fuzhou Radio
2.18,CHN XSM Xiamen Radio
2.18,CHN XSQ Guangzhou Radio
2.18,CHN XSV Tianjin Radio
2.18,FRO OXJ Trshavn Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,GRL OYR Aasiaat Radio
2.18,POL SPL Polish Rescue R.
2.2,AUS VMC Charleville QL
2.21,CAN VCS Halifax Radio
2.21,NZL ZLM Taupo Maritime R.
2.21,NZL ZLM Taupo Maritime R.
2.21,NZL ZLM Taupo Maritime R.
2.21,NZL ZLM Taupo Maritime R.
2.21,NZL ZLM Taupo Maritime R.
2.21,NZL ZLM Taupo Maritime R.
2.21,NZL ZLM Taupo Maritime R.
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.23,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.25,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.27,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.3,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.31,GRL OYR Aasiaat Radio
2.35,KRE KCBS Pyongyang
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.4,GRL OYR Aasiaat Radio
2.47,HOL PBB Navy Den Helder
2.5,CHN BPM Xian
2.5,HWA WWVH Hawaii (f.ann.)
2.5,USA WWV Colorado (m.ann.)
2.51,NOR LBJ Norway Navy
2.51,CAN VCF Les Escoumins QC
2.51,CAN VCP Placentia NL
2.51,CAN VCP Placentia NL
2.51,CAN VCS Halifax Radio
2.51,CAN VFF Iqaluit Radio
2.51,CAN VFF Iqaluit Radio
2.51,CAN VFF Iqaluit Radio
2.51,CAN VFF Iqaluit Radio
2.51,CAN VFF Iqaluit Radio
2.51,CAN VFF Iqaluit Radio
2.51,CAN VFF Iqaluit Radio
2.51,CAN VOJ Port aux Basques NL
2.51,CAN VOK Labrador Coastguard
2.51,CAN VOK Labrador Coastguard
2.51,CAN VOK Labrador Coastguard
2.53,CAN VCO Sydney Radio NS
2.54,CAN VCP Placentia NL
2.54,CAN VCS Halifax Radio
2.54,CAN VOK Labrador Coastguard
2.54,CAN VOK Labrador Coastguard
2.54,MRT CROSS Martinique Wx
2.54,MRT CROSS Martinique Wx
2.56,CAN VFF Iqaluit Radio
2.56,CAN VFF Iqaluit Radio
2.58,BER ZBM Bermuda Harbor
2.58,BER ZBM Bermuda Harbor
2.58,BER ZBM Bermuda Harbor
2.58,BER ZBM Bermuda Harbor
2.58,BER ZBM Bermuda Harbor
2.58,BER ZBM Bermuda Harbor
2.58,CAN VCF Les Escoumins QC
2.58,CAN VCF Les Escoumins QC
2.58,CAN VCO Sydney Radio NS
2.58,CAN VCP Placentia NL
2.58,CAN VCP Placentia NL
2.58,CAN VCS Halifax Radio
2.58,CAN VCS Halifax Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VFF Iqaluit Radio
2.58,CAN VOJ Port aux Basques NL
2.58,CAN VOK Labrador Coastguard
2.58,CAN VOK Labrador Coastguard
2.58,CAN VOK Labrador Coastguard
2.6,CAN VCF Les Escoumins QC
2.6,CAN VCF Les Escoumins QC
2.6,CAN VCF Les Escoumins QC
2.6,CAN VCF Les Escoumins QC
2.6,CAN VCF Les Escoumins QC
2.6,CAN VCF Les Escoumins QC
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VCP Placentia NL
2.6,CAN VOJ Port aux Basques NL
2.6,CAN VOJ Port aux Basques NL
2.6,CAN VOJ Port aux Basques NL
2.6,CAN VOJ Port aux Basques NL
2.6,CAN VOJ Port aux Basques NL
2.6,CAN VOJ Port aux Basques NL
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.6,CAN VOK Labrador Coastguard
2.63,AUS VMC Charleville Met Fax
2.63,AUS VMC Charleville Met Fax
2.63,AUS VMC Charleville Met Fax
2.63,GRL OYR Aasiaat Radio
2.63,GRL OYR Aasiaat Radio
2.63,GRL OYR Aasiaat Radio
2.63,GRL OYR Aasiaat Radio
2.63,GRL OYR Aasiaat Radio
2.63,GRL OYR Aasiaat Radio
2.63,GRL OYR Aasiaat Radio
2.63,GRL OYR Aasiaat Radio
2.68,ISR 4XZ Israeli Navy Haifa
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.71,POL SPL Polish Rescue R.
2.74,CHL CBA Antofagasta Radio
2.74,CHL CBA Antofagasta Radio
2.74,CHL CBM Magellanes Radio
2.74,CHL CBM Magellanes Radio
2.74,CHL CBP Puerto Montt R.
2.74,CHL CBP Puerto Montt R.
2.74,CHL CBT Talcahuano Radio
2.74,CHL CBT Talcahuano Radio
2.74,CHL CBV Valparaso Radio
2.74,CHL CBV Valparaso Radio
2.74,CHL CBY Isla de Pascua R.
2.74,CHL CBY Isla de Pascua R.
2.75,CAN VCF Les Escoumins QC
2.75,CAN VCF Les Escoumins QC
2.75,CAN VCF Les Escoumins QC
2.75,CAN VCF Les Escoumins QC
2.75,CAN VCF Les Escoumins QC
2.75,CAN VCF Les Escoumins QC
2.75,CAN VCO Sydney Radio NS
2.75,CAN VCO Sydney Radio NS
2.75,CAN VCO Sydney Radio NS
2.75,CAN VCO Sydney Radio NS
2.75,CAN VCS Halifax Radio
2.75,CAN VCS Halifax Radio
2.75,CAN VCS Halifax Radio
2.75,CAN VCS Halifax Radio
2.75,CAN VCS Halifax Radio
2.75,CAN VCS Halifax Radio
2.75,CAN VCS Halifax Radio
2.75,CAN VCS Halifax Radio
2.75,CHN XSV Tianjin Radio
2.75,HOL PFC Navy Den Helder
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
2.76,BEL OSU Oostende Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.12,GRL OYR Aasiaat Radio
3.21,KRE KCBS DIGITAL
3.25,KRE KCBS Pyongyang
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.28,GRL OYR Aasiaat Radio
3.33,CAN CHU Ottawa
3.58,KOR HLL Seoul Meteo Fax
3.59,CZE OK0EU Beacon D
3.59,CZE OK0EU Beacon H
3.59,CZE OK0EU Beacon M
3.59,CZE OK0EU Beacon R
3.59,CZE OK0EU Beacon U
3.74,BUL LZW Varna Radio
3.74,BUL LZW Varna Radio
3.74,BUL LZW Varna Radio
3.9,CHN PBS Hulun Buir
3.9,CHN PBS Hulun Buir
3.96,KOR KBS World Radio
3.96,KRE KCBS Pyongyang
3.98,CHN CNR 2 China Business R.
3.99,CHN PBS Gannan
3.99,CHN PBS Gannan
4.0,EQA HCJB Voice of Andes
4.0,EQA HCJB Voice of Andes
4.0,EQA HCJB Voice of Andes
4.0,EQA HCJB Voice of Andes
4.0,USA NSS US Navy
4.04,USA WCY Marine Weather Ctr
4.04,USA WCY Marine Weather Ctr
4.12,CAN VAJ Prince Rupert Radio
4.12,CAN VAJ Prince Rupert Radio
4.12,CAN VFF Iqaluit Radio
4.13,ARG L3A Comodoro Rivadavia
4.15,CHL CBM Magellanes Radio
4.15,CHL CBM Magellanes Radio
4.15,CHL CBP Puerto Montt R.
4.15,CHL CBP Puerto Montt R.
4.15,NZL ZLM Taupo Maritime R.
4.15,NZL ZLM Taupo Maritime R.
4.15,NZL ZLM Taupo Maritime R.
4.15,NZL ZLM Taupo Maritime R.
4.15,NZL ZLM Taupo Maritime R.
4.15,NZL ZLM Taupo Maritime R.
4.15,NZL ZLM Taupo Maritime R.
4.15,ARG L3A Comodoro Rivadavia
4.15,ARG L3A Comodoro Rivadavia
4.15,ARG L3A Comodoro Rivadavia
4.15,ARG L3A Comodoro Rivadavia
4.15,AUS VMW Wiluna WA
4.16,CHN XSQ Guangzhou Meteo Fax
4.16,CHN XSQ Guangzhou Meteo Fax
4.17,CHN XSG Shanghai Radio Fax
4.17,CHN XSG Shanghai Radio Fax
4.17,CHN XSG Shanghai Radio Fax
4.17,CHN XSG Shanghai Radio Fax
4.17,CHN XSG Shanghai Radio Fax
4.18,CAN VFF Iqaluit Radio
4.21,CAN VFF Iqaluit Radio
4.21,TUR TAH Turk Radio Istanbul
4.21,CHN XSQ Guangzhou Radio
4.21,CHN XSV Tianjin Radio
4.21,RUS UGC St.Peterburg Radio
4.21,RUS UGC St.Peterburg Wx Fax
4.22,CHN XSG Shanghai Radio
4.22,TUR TAH Turk Radio Istanbul
4.22,CHN XSQ Guangzhou Radio
4.23,CHL CBV Valparaiso Met Fax
4.23,CHL CBV Valparaiso Met Fax
4.23,CHL CBV Valparaiso Met Fax
4.23,CHL CBV Valparaiso Met Fax
4.24,USA NMF Fax Boston MA
4.24,USA NMF Fax Boston MA
4.26,CHN XSG Shanghai Radio
4.27,CAN CFH Halifax Radio
4.28,HOL PBB Navy Den Helder
4.3,ALS NOJ Fax Kodiak
4.3,ALS NOJ Fax Kodiak
4.3,ALS NOJ Fax Kodiak
4.3,ALS NOJ Fax Kodiak
4.32,USA NMG USCG New Orleans
4.32,USA NMG USCG New Orleans
4.32,USA NMG USCG New Orleans
4.32,USA NMG USCG New Orleans
4.32,USA NMG USCG New Orleans
4.32,USA NMG USCG New Orleans
4.32,USA NMG USCG New Orleans
4.32,USA NMG USCG New Orleans
4.32,USA NMG Fax New Orleans
4.32,USA NMG Fax New Orleans
4.32,USA NMG Fax New Orleans
4.32,USA NMG Fax New Orleans
4.33,ISR 4XZ Israeli Navy Haifa
4.35,USA NMC Fax Pt Reyes CA
4.35,USA NMC Fax Pt Reyes CA
4.35,USA NMC Fax Pt Reyes CA
4.35,USA NMC Fax Pt Reyes CA
4.36,CHL CBA Antofagasta Radio
4.36,CHL CBA Antofagasta Radio
4.36,CHL CBT Talcahuano Radio
4.36,CHL CBT Talcahuano Radio
4.36,CHL CBV Valparaso Radio
4.36,CHL CBV Valparaso Radio
4.36,CHL CBY Isla de Pascua R.
4.36,CHL CBY Isla de Pascua R.
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,CAN VFF Iqaluit Radio
4.36,MCO 3AC Radio Monaco
4.36,MCO 3AC Radio Monaco
4.36,MCO 3AC Radio Monaco
4.36,MCO 3AC Radio Monaco
4.38,AFS ZSC Cape Town Radio
4.38,CAN VOK Labrador Coastguard
4.38,CAN VOK Labrador Coastguard
