Frequency (MHz),Full_Info
0.78,2000-2200       ALG R.Algiers Int.           A   NAf         r
0.78,2200-2300       ALG R.Algiers Int.           F   NAf         r
0.8,0000-0230       USA Trans World Radio        S   CUB         /BES
0.8,0230-0330 Tu-Sa USA Trans World Radio        S   CUB         /BES
0.8,0830-0945       USA Trans World Radio        P   SAm         /BES
0.8,0945-1000 Sa    USA Trans World Radio        MX  SAm         /BES
0.8,0945-1000 Su-Fr USA Trans World Radio        P   SAm         /BES
0.8,1000-1130       USA Trans World Radio        S   Car         /BES
0.8,2330-2400       USA Trans World Radio        E   Car         /BES
0.8,0258-2100       ETH Amhara State Radio       AH  EAf         b
0.84,0000-0900       CHN CNR5 Cross-Strait Radio  M   TWN         qz
0.84,0900-1000       CHN CNR5 Cross-Strait Radio  M   TWN         qz
0.84,1000-1705       CHN CNR5 Cross-Strait Radio  M   TWN         qz
0.84,2055-2300       CHN CNR5 Cross-Strait Radio  M   TWN         qz
0.84,2300-2400       CHN CNR5 Cross-Strait Radio  M   TWN         qz
0.84,0253-2000       ETH Radio Oromiya            OO  EAf         r
0.87,0355-0943       CHN China Huayi BC           M   TWN         f
0.87,0943-1200       CHN China Huayi BC           M   TWN         f
0.87,0130-0330       CLN Sri Lanka BC             TAM SAs         p
0.87,0600-0800       HNG Nemzetisgi Rdi        HR  HNG         lh
0.87,0600-0800       HNG Nemzetisgi Rdi        HR  HNG         p
0.87,0800-1000       HNG Nemzetisgi Rdi        D   HNG         lh
0.87,0800-1000       HNG Nemzetisgi Rdi        D   HNG         p
0.87,1100-1130 Sa    HNG Nemzetisgi Rdi        AR  HNG         lh
0.87,1100-1130 Sa    HNG Nemzetisgi Rdi        AR  HNG         p
0.87,1100-1130 We    HNG Nemzetisgi Rdi        BU  HNG         lh
0.87,1100-1130 We    HNG Nemzetisgi Rdi        BU  HNG         p
0.87,1100-1130 Th    HNG Nemzetisgi Rdi        GR  HNG         lh
0.87,1100-1130 Th    HNG Nemzetisgi Rdi        GR  HNG         p
0.87,1100-1130 Tu    HNG Nemzetisgi Rdi        RU  HNG         lh
0.87,1100-1130 Tu    HNG Nemzetisgi Rdi        RU  HNG         p
0.87,1100-1130 Mo    HNG Nemzetisgi Rdi        SV  HNG         lh
0.87,1100-1130 Mo    HNG Nemzetisgi Rdi        SV  HNG         p
0.87,1100-1130 Fr    HNG Nemzetisgi Rdi        UK  HNG         lh
0.87,1100-1130 Fr    HNG Nemzetisgi Rdi        UK  HNG         p
0.87,1130-1200 Sa    HNG Nemzetisgi Rdi        PO  HNG         lh
0.87,1130-1200 Sa    HNG Nemzetisgi Rdi        PO  HNG         p
0.87,2000-2200 irr   HNG Nemzetisgi Rdi        D   HNG         lh
0.87,2000-2200 irr   HNG Nemzetisgi Rdi        D   HNG         p
0.88,0000-2400       B   Rdio Inconfidncia      P   B           c
0.88,0000-0015 Su    IND Trans World Radio        BNJ SAs         /CLN-p
0.88,0000-0015 We    IND Trans World Radio        HI  SAs         /CLN-p
0.88,0000-0015 Fr    IND Trans World Radio        MAR SAs         /CLN-p
0.88,0000-0015 Tu    IND Trans World Radio        SRA SAs         /CLN-p
0.88,0000-0015 Th    IND Trans World Radio        TEL SAs         /CLN-p
0.88,0000-0030 Mo    IND Trans World Radio        MAL SAs         /CLN-p
0.88,0000-0030 Sa    IND Trans World Radio        OR  SAs         /CLN-p
0.88,0015-0030 Tu    IND Trans World Radio        CHG SAs         /CLN-p
0.88,0015-0030 We    IND Trans World Radio        GON SAs         /CLN-p
0.88,0015-0030 Th    IND Trans World Radio        HI  SAs         /CLN-p
0.88,0015-0030 Su    IND Trans World Radio        TUL SAs         /CLN-p
0.88,0015-0045 Fr    IND Trans World Radio        MAR SAs         /CLN-p
0.88,0030-0045 We    IND Trans World Radio        GM  SAs         /CLN-p
0.88,0030-0045 Tu    IND Trans World Radio        KON SAs         /CLN-p
0.88,0030-0045 Th    IND Trans World Radio        KOY SAs         /CLN-p
0.88,0030-0045 Mo    IND Trans World Radio        KUI SAs         /CLN-p
0.88,0030-0100 Su    IND Trans World Radio        GU  SAs         /CLN-p
0.88,0030-0100 Sa    IND Trans World Radio        OR  SAs         /CLN-p
0.88,0045-0100 Mo-Fr IND Trans World Radio        E   SAs         /CLN-p
0.88,1445-1500 Fr-Sa IND Trans World Radio        E   SAs         /CLN-p
0.88,1445-1500 Th    IND Trans World Radio        OR  SAs         /CLN-p
0.88,1445-1500 Su-Tu IND Trans World Radio        TAM SAs         /CLN-p
0.88,1445-1500 We    IND Trans World Radio        TEL SAs         /CLN-p
0.88,1500-1545       IND Trans World Radio        E   SAs         /CLN-p
0.89,"0450-1330       ALG R.Algiers Int.           A,F NAf         of"
0.89,1330-1400       ALG R.Algiers Int.           E   NAf         of
0.89,1400-1430       ALG R.Algiers Int.           S   NAf         of
0.89,1430-1600       ALG R.Algiers Int.           A   NAf         of
0.89,1600-1630       ALG R.Algiers Int.           F   NAf         of
0.89,1630-1700       ALG R.Algiers Int.           A   NAf         of
0.89,1700-1730       ALG R.Algiers Int.           F   NAf         of
0.89,1730-1900       ALG R.Algiers Int.           A   NAf         of
0.89,1900-1930       ALG R.Algiers Int.           E   NAf         of
0.89,1930-2000       ALG R.Algiers Int.           S   NAf         of
0.89,2000-2200       ALG R.Algiers Int.           A   NAf         of
0.89,2200-2300       ALG R.Algiers Int.           F   NAf         of
0.89,2300-2315       ALG R.Algiers Int.           E   NAf         of
0.89,2315-2330       ALG R.Algiers Int.           S   NAf         of
0.89,"2330-0450       ALG R.Algiers Int.           A,F NAf         of"
0.9,0200-0300       CHN China Radio Int.         BR  SEA         de
0.9,0700-0800       CHN China Radio Int.         BR  SEA         de
0.9,1400-1500       CHN China Radio Int.         BR  SEA         de
0.91,1100-1200 Mo-Sa ROU Radio Bukarest           D   ROU
0.93,1900-1930       ALG R.Algiers Int.           E   NAf         tm
0.93,1930-2000       ALG R.Algiers Int.           S   NAf         tm
0.93,2000-2200       ALG R.Algiers Int.           A   NAf         tm
0.93,2200-2300       ALG R.Algiers Int.           F   NAf         tm
0.96,1100-1200       CHN China Radio Int.         R   FE          hd
0.96,1200-1300       CHN China Radio Int.         R   FE          hd
0.96,1300-1400       CHN China Radio Int.         R   FE          hd
0.96,1400-1500       CHN China Radio Int.         R   FE          hd
0.96,1500-1600       CHN China Radio Int.         R   FE          hd
0.96,0500-0903       TUN Radio Tunis Chaine Int.  F   TUN
0.96,0903-1000       TUN Radio Tunis Chaine Int.  D   TUN
0.96,1000-1303       TUN Radio Tunis Chaine Int.  F   TUN
0.96,1303-1400       TUN Radio Tunis Chaine Int.  E   TUN
0.96,1400-1403       TUN Radio Tunis Chaine Int.  F   TUN
0.96,1403-1500       TUN Radio Tunis Chaine Int.  I   TUN
0.96,1500-1817       TUN Radio Tunis Chaine Int.  F   TUN
0.96,1817-1900       TUN Radio Tunis Chaine Int.  D   TUN
0.96,1903-2000       TUN Radio Tunis Chaine Int.  S   TUN
0.96,2000-0100       TUN Radio Tunis Chaine Int.  F   TUN
0.97,0350-1400       KOR KBS Hanminjok            K   FE          d
0.97,1400-2400       KOR KBS Hanminjok            K   FE          d
0.98,0150-0155       B   Rdio Nacional Amaznia  E   B           b
0.98,0155-0200       B   Rdio Nacional Amaznia  S   B           b
0.98,0750-0207       B   Rdio Nacional Amaznia  P   B           b
0.98,0730-0750 Mo-Fr J   NHK Radio Japan          T   THA         /THA
1.0,1500-0100       RUS Radio Rossii             R   EEu         /MDA
1.01,"0000-2400       CAN CFRX Toronto, CFRB 1010  E   NAm         t"
1.02,1000-1100       CHN China National Radio 8   K   CHN         cc
1.02,1100-1300       CHN China Radio Int.         K   FE          cc
1.02,1300-1400       CHN China Radio Int.         K   FE          cc
1.02,1400-1500       CHN China Radio Int.         K   FE          cc
1.02,1500-1600       CHN China Radio Int.         K   FE          cc
1.02,2100-2300       CHN China Radio Int.         K   FE          cc
1.03,0253-2000       ETH Radio Oromiya            OO  EAf         ad
1.04,1100-1300       CHN China Radio Int.         J   FE          ch
1.04,1300-1400       CHN China Radio Int.         J   FE          ch
1.04,1400-1500       CHN China Radio Int.         J   FE          ch
1.04,1500-1600       CHN China Radio Int.         J   FE          ch
1.05,0253-2000       ETH Radio Oromiya            OO  EAf         n
1.06,1200-2200       MEX Radio Educacin          S   CAm         e
1.06,2200-1200       MEX Radio Educacin          S   CAm         e
1.07,0100-0130       IND AIR Akashvani Ext.Sce    SD  PAK         j
1.07,0400-0745       IND AIR Akashvani Ext.Sce    UR  PAK         j
1.07,0930-1130       IND AIR Akashvani Ext.Sce    UR  PAK         j
1.07,1130-1200       IND AIR Akashvani Ext.Sce    SIR PAK         j
1.07,1200-1330       IND AIR Akashvani Ext.Sce    PJ  PAK         j
1.07,1545-1930       IND AIR Akashvani Ext.Sce    UR  PAK         j
1.07,2330-0100       IND AIR Akashvani Ext.Sce    PJ  PAK         j
1.07,0400-0430       VTN Voice of Vietnam         E   SEA         pd
1.07,1000-1030       VTN Voice of Vietnam         E   SEA         pd
1.07,0430-0500       VTN Voice of Vietnam         M   SEA         pd
1.07,1030-1100       VTN Voice of Vietnam         M   SEA         pd
1.07,2145-1700       VTN Voice of Vietnam 1       VN  SEA         pd
1.08,1130-1230       CHN China Radio Int.         T   SEA         xw
1.08,1230-1330       CHN China Radio Int.         LAO SEA         xw
1.08,1330-1430       CHN China Radio Int.         T   SEA         xw
1.08,1430-1530       CHN China Radio Int.         LAO SEA         xw
1.08,1600-1700       CHN China Radio Int.         E   SEA         xw
1.08,1700-1800       CHN China Radio Int.         E   SEA         xw
1.08,0255-2101       ETH Fana Broadcasting Corp.  AH  EAf         a
1.09,1900-1930       ALG R.Algiers Int.           E   NAf         ad
1.09,1930-2000       ALG R.Algiers Int.           S   NAf         ad
1.09,2000-2200       ALG R.Algiers Int.           A   NAf         ad
1.09,2200-2300       ALG R.Algiers Int.           F   NAf         ad
1.09,0000-0100       CHN China National Radio 6   AM  TWN         f
1.09,0100-0200       CHN China National Radio 6   AM  TWN         f
1.09,0200-0500       CHN China National Radio 6   AM  TWN         f
1.09,0500-0600       CHN China National Radio 6   HK  TWN         f
1.09,0600-0900 Th-Tu CHN China National Radio 6   HK  TWN         f
1.09,0900-1100       CHN China National Radio 6   HK  TWN         f
1.09,1100-1200       CHN China National Radio 6   M   TWN         f
1.09,1200-1605       CHN China National Radio 6   M   TWN         f
1.09,2155-2400       CHN China National Radio 6   AM  TWN         f
1.09,1145-1300       RUS Radio Rossii             R   EEu         a
1.1,0120-0220       IRN IRIB Voice of I.R.Iran   UR  SAs         zb
1.1,0220-0320       IRN IRIB Voice of I.R.Iran   PS  AFG         zb
1.1,0320-1520       IRN IRIB Voice of I.R.Iran   DR  AFG         zb
1.1,1650-1750       IRN IRIB Voice of I.R.Iran   PS  AFG         zb
1.1,1200-1300       TWN Radio Taiwan Int.        AM  SEA         k
1.1,1300-1400       TWN Radio Taiwan Int.        M   SEA         k
1.1,1400-1500       TWN Radio Taiwan Int.        M   SEA         k
1.1,1500-1600       TWN Radio Taiwan Int.        M   SEA         k
1.1,1600-1700       TWN Radio Taiwan Int.        M   SEA         k
1.12,1000-1705       CHN CNR5 Cross-Strait Radio  M   TWN         sw
1.12,2055-2200       CHN CNR5 Cross-Strait Radio  M   TWN         sw
1.13,0600-0850 We-Mo CHN China National Radio 1   M   CHN         q
1.13,0850-1805       CHN China National Radio 1   M   CHN         q
1.13,2023-0600       CHN China National Radio 1   M   CHN         q
1.16,"0000-2400       USA KSL Salt Lake City, UT   E   USA         ks"
1.16,1900-1930       ALG R.Algiers Int.           E   NAf         s
1.16,1930-2000       ALG R.Algiers Int.           S   NAf         s
1.16,2000-2200       ALG R.Algiers Int.           A   NAf         s
1.16,2200-2300       ALG R.Algiers Int.           F   NAf         s
1.16,0130-0420       IRN IRIB Voice of I.R.Iran   A   ME          q
1.16,1520-2020       IRN IRIB Voice of I.R.Iran   A   ME          q
1.17,0000-0350       KOR KBS Hanminjok            K   FE          k
1.17,0950-1000       KOR KBS Hanminjok            K   FE          k
1.17,1400-2400       KOR KBS Hanminjok            K   FE          k
1.17,1000-1100       KOR KBS World Radio          K   FE          k
1.17,1100-1200       KOR KBS World Radio          J   FE          k
1.17,1200-1300       KOR KBS World Radio          R   FE          k
1.17,1300-1400       KOR KBS World Radio          M   FE          k
1.17,2000-2030 Sa    SWZ Trans World Radio        E   SAf
1.17,2000-2030 Mo-Fr SWZ Trans World Radio        SHO SAf
1.17,2000-2030 Su    SWZ Trans World Radio        Z   SAf
1.17,2030-2100 Sa    SWZ Trans World Radio        E   SAf
1.17,2030-2121 Mo-Fr SWZ Trans World Radio        E   SAf
1.17,2030-2132 Su    SWZ Trans World Radio        E   SAf
1.17,2100-2130 Sa    SWZ Trans World Radio        Z   SAf
1.17,2121-2151 Mo-Fr SWZ Trans World Radio        Z   SAf
1.17,2151-2251 Mo-Fr SWZ Trans World Radio        E   SAf
1.19,1100-1200       CHN China Radio Int.         BR  SEA         k
1.19,1200-1300       CHN China Radio Int.         E   SAs         k
1.19,1300-1400       CHN China Radio Int.         BE  SAs         k
1.19,1400-1500       CHN China Radio Int.         NE  SAs         k
1.19,1500-1600       CHN China Radio Int.         E   SAs         k
1.19,1600-1700       CHN China Radio Int.         HI  SAs         k
1.19,0600-0800       HNG Nemzetisgi Rdi        HR  HNG         m
1.19,0600-0800       HNG Nemzetisgi Rdi        HR  HNG         sz
1.19,0800-1000       HNG Nemzetisgi Rdi        D   HNG         m
1.19,0800-1000       HNG Nemzetisgi Rdi        D   HNG         sz
1.19,1100-1130 Sa    HNG Nemzetisgi Rdi        AR  HNG         m
1.19,1100-1130 Sa    HNG Nemzetisgi Rdi        AR  HNG         sz
1.19,1100-1130 We    HNG Nemzetisgi Rdi        BU  HNG         m
1.19,1100-1130 We    HNG Nemzetisgi Rdi        BU  HNG         sz
1.19,1100-1130 Th    HNG Nemzetisgi Rdi        GR  HNG         m
1.19,1100-1130 Th    HNG Nemzetisgi Rdi        GR  HNG         sz
1.19,1100-1130 Tu    HNG Nemzetisgi Rdi        RU  HNG         m
1.19,1100-1130 Tu    HNG Nemzetisgi Rdi        RU  HNG         sz
1.19,1100-1130 Mo    HNG Nemzetisgi Rdi        SV  HNG         m
1.19,1100-1130 Mo    HNG Nemzetisgi Rdi        SV  HNG         sz
1.19,1100-1130 Fr    HNG Nemzetisgi Rdi        UK  HNG         m
1.19,1100-1130 Fr    HNG Nemzetisgi Rdi        UK  HNG         sz
1.19,1130-1200 Sa    HNG Nemzetisgi Rdi        PO  HNG         m
1.19,1130-1200 Sa    HNG Nemzetisgi Rdi        PO  HNG         sz
1.19,2000-2200 irr   HNG Nemzetisgi Rdi        D   HNG         m
