Frequency (MHz),Full_Info
9.88,1500-1600       CHN China Radio Int.         E   SEA         n
9.88,1600-1700       CHN China Radio Int.         E   SEA         n
9.88,1700-1800       CHN China Radio Int.         E   SEA         n
9.88,2200-2300       CHN China Radio Int.         EO  SAm         ka
9.88,1930-2030       TUR Voice of Turkey          F   WAf         e
9.88,1312-1330       CLA Voice of Tibet           TB  FE          /UZB
9.88,1000-1300       CHN CNR1 Jammer/Firedrake    M   FE          d
9.88,1330-1400       CHN CNR1 Jammer/Firedrake    M   FE
9.88,2330-0045       EGY Radio Cairo              A   SAm         a
9.88,1800-1900       MDG MWV New Life Station     R   EEu         m
9.88,1000-1100       TWN Radio Taiwan Int.        M   FE          s
9.88,1100-1200       TWN Radio Taiwan Int.        M   FE          s
9.88,1200-1300       TWN Radio Taiwan Int.        M   FE          s
9.88,2000-2100       USA Adventist World Radio    K   KOR         /GUM-a
9.89,1335-1400       CLA Voice of Tibet           TB  FE          /UZB
9.89,1400-1500       CHN China National Radio 13  UI  CHN         L
9.89,1500-1600       CHN China National Radio 13  M   CHN         L
9.89,1600-1805       CHN China National Radio 13  UI  CHN         L
9.89,1000-1100       CHN China Radio Int.         M   Sib         x
9.89,1300-1330       CHN CNR1 Jammer/Firedrake    M   FE
9.89,1330-1400       CHN CNR1 Jammer/Firedrake    M   FE
9.89,1900-2000       EGY Radio Cairo              R   EEu         a
9.89,1500-1600       KRE Voice of Korea           A   ME          u
9.89,1600-1700       KRE Voice of Korea           E   ME          u
9.89,1700-1800       KRE Voice of Korea           A   ME          u
9.89,1335-1400       CLA Voice of Tibet           TB  FE          /TJK
9.89,0000-2400       HOL Radio Piepzender         NL  Eu          zw
9.89,0230-0300       S   IBRA Radio               DR  AFG         /UAE
9.9,2200-2400       CHN CNR1 Jammer/Firedrake    M   CHN         d
9.9,0045-0200       EGY Radio Cairo              S   SAm         a
9.9,1700-1900       EGY Radio Cairo              TU  ME          a
9.9,1500-1600       GUM KTWR Trans World Radio   K   KOR         m
9.9,2200-2400       TWN Radio Taiwan Int.        M   FE          s
9.91,1130-1145 Su    GUM KTWR Trans World Radio   E   FE          m
9.91,1145-1245 Su    GUM KTWR Trans World Radio   M   CHN         m
9.91,1200-1215 Mo-Fr GUM KTWR Trans World Radio   YUN CHN         m
9.91,1245-1300       GUM KTWR Trans World Radio   HUI CHN         m
9.91,0600-0700       G   BBC                      E   CAf         /ASC
9.92,1200-1230 Th-Sa PHL FEBC Manila              JR  SEA         i
9.92,1200-1230 Su-We PHL FEBC Manila              RAD SEA         i
9.92,1230-1300 135   PHL FEBC Manila              BHN SEA         i
9.92,1230-1300 2467  PHL FEBC Manila              HRE SEA         i
9.92,1300-1330       PHL FEBC Manila              KOH SEA         i
9.93,0000-2400 irr   B   Free Radio Minas Gerais  P   B           xx
9.93,0835-0905 Mo    USA Hope Radio 3             E   FE          /PLW
9.93,0850-1000 Tu-Fr USA Hope Radio 3             E   FE          /PLW
9.93,1145-1200 Fr    USA Hope Radio 3             M   FE          /PLW
9.93,"1300-0130       USA WTWW Lebanon, TN         E   NAm         L"
9.94,1430-1500       CHN CNR1 Jammer/Firedrake    M   FE
9.94,1300-1330       CLA Nippon no Kaze           K   KRE         /TWN-p
9.94,1430-1500       HKG FEBC Radio Liangyou      UI  FE          /PHL-b
9.94,1905-1935       SWZ Trans World Radio        LIN COD
9.94,1935-1950 SaSu  SWZ Trans World Radio        F   COD
9.94,1935-2005 Mo-Fr SWZ Trans World Radio        LIN COD
9.95,"1000-1010 Tu,Fr POL E11 Polish Spy Numbers   E               p"
9.96,0200-0230       CZE Radio Prague             S   LAm         /USA-o
9.96,0300-0330       CZE Radio Prague             E   LAm         /USA-o
9.96,0330-0400       CZE Radio Prague             F   LAm         /USA-o
9.96,0230-0300       SVK Radio Slovakia Int.      S   LAm         /USA-o
9.96,1100-1600       USA WRMI Radio Miami Int.    E   LAm         o
9.96,2100-0200       USA WRMI Radio Miami Int.    E   LAm         o
9.96,1830-0658       VUT Radio Vanuatu            BSL VUT
9.96,0000-2400       ISR 4XZ Israeli Navy Haifa   -CW
9.96,0800-1150 Su    USA Hope Radio 5             E   FE          /PLW
9.96,0805-0905 Mo-Fr USA Hope Radio 5             E   FE          /PLW
9.96,0830-0845 Fr    USA Hope Radio 5             M   FE          /PLW
9.96,0840-1050 Sa    USA Hope Radio 5             E   FE          /PLW
9.97,0000-2400       B   Rdio Casa AM            P   B           am
9.97,2130-1700       CHN CNR1 Jammer/Firedrake    M   FE
9.97,0000-0100       TWN Sound of Hope            M   FE
9.97,0100-0200       TWN Sound of Hope            M   FE
9.97,0200-1200       TWN Sound of Hope            M   FE
9.97,1200-1300       TWN Sound of Hope            M   FE
9.97,1300-1400       TWN Sound of Hope            M   FE
9.97,1400-1500       TWN Sound of Hope            M   FE
9.97,1500-1600       TWN Sound of Hope            M   FE
9.97,1600-1700       TWN Sound of Hope            M   FE
9.97,2100-2130       TWN Sound of Hope            M   FE
9.97,2130-2200       TWN Sound of Hope            M   FE
9.97,2200-2300       TWN Sound of Hope            M   FE
9.97,2300-2400       TWN Sound of Hope            M   FE
9.97,1215-1245 Mo-Fr GUM KTWR Trans World Radio   E   J           m
9.97,1215-1245 Su    GUM KTWR Trans World Radio   J   J           m
9.97,1300-1340 Mo-Fr GUM KTWR Trans World Radio   M   CHN         m
9.97,1300-1345 Su    GUM KTWR Trans World Radio   M   CHN         m
9.97,1300-1400 Sa    GUM KTWR Trans World Radio   M   CHN         m
9.98,"2200-2400       USA WWCR 4 Nashville, TN     E   NAm         n"
9.98,0519-1600       HWA KVM70 Fax Honolulu           Oc          nm
9.99,"2000-0030 irr   B   R.Voz Evanglica, Cear  P   B           xx"
10.0,0000-2400       RUS RWM Moscow               -TS RUS         t
10.0,1400-1500 Mo-Fr ARG LOL Buenos Aires         -TS ARG         b
10.0,0000-2400       B   PPE Observatorio Nac.    -TS B           ro
10.0,0000-2400       CHN BPM Xian                 -TS CHN         p
10.0,0000-2400       HWA WWVH Hawaii (f.ann.)     -TS USA         c
10.0,0000-2400       I   ItalCable                -TS SEu         v
10.0,0000-2400       USA WWV Colorado (m.ann.)    -TS USA         fc
10.02,0000-2400       IND Mumbai Radio             E   SAs
10.02,0000-2400       IRL Shannon Aeradio H        E   NAO         s
10.02,0000-2400       ROU Bucuresti Aero           RO  Eu          b
10.02,1200-2400       HND COCESNA Cenamer Control  S   CAm         t
10.02,0000-2400       PRU Lima Radio               S   SAm
10.03,0000-2400       ALS Barrow HFDL (ID9)        -HF NOc         ba
10.03,0000-2400       HWA Moloka'i HFDL (ID2)      -HF Oc          m
10.03,0000-2400       BHR Al Muharraq HFDL (ID15)  -HF ME          m
10.04,0000-2400       IRL Shannon Aeradio H        E   NAO         s
10.05,0000-2400       J   Tokyo Radio              E   FE
10.05,0000-2400       USA San Francisco Radio NP   E   NOc         /ALS-ba
10.05,0000-2400       USA San Francisco Radio NP   E   NOc         /HWA-m
10.06,"0000-2400       MDG Antanan.Volmet x25,x50   E   EAf"
10.06,0000-2400       USA San Francisco Radio CEP  E   EOc         dx
10.06,0000-2400       KOR Seoul Muan HFDL (ID10)   -HF FE          m
10.06,0000-2400       PNR Albrook HFDL (ID11)      -HF CAm         al
10.07,0000-2400       BGD Dhaka Radio              E   SAs
10.07,0000-2400       IND Kolkata Radio            E   SAs
10.07,0000-2400       IRL Shannon Aeradio I        E   NAO         s
10.07,0000-2400       MYA Yangon Radio             E   SEA
10.07,0000-2400       THA Hat Yai HFDL (ID6)       -HF SEA         hy
10.08,0000-2400       IRL Shannon HFDL (ID7)       -HF NAO         s
10.08,0000-2400       USA San Francisco HFDL(ID1)  -HF WNA         dx
10.08,0000-2400       IND Delhi Radio              E   SAs
10.08,0000-2400       IND Mumbai Radio             E   SAs
10.08,0000-2400       NZL Auckland HFDL (ID5)      -HF SOc         a
10.09,0000-2400       ALS Barrow HFDL (ID9)        -HF NOc         ba
10.1,0000-2400       D   DWD 1 Pinneberg RTTY     E   Eu          pi
10.12,0000-2400       CHN BAF Beijing Meteo Fax        FE          bm
10.12,0000-0100 Su    AUS VK2WI News Broadcast     E   AUS         du
10.12,0930-1000 Su    AUS VK2WI News Broadcast     E   AUS         du
10.15,0000-2400       PTR NAU US Navy              -TY NAm         i
10.16,2100-1700       CHN CNR1 Jammer/Firedrake    M   FE
10.16,0000-0100       TWN Sound of Hope            M   FE
10.16,0100-0200       TWN Sound of Hope            M   FE
10.16,0200-1200       TWN Sound of Hope            M   FE
10.16,1200-1300       TWN Sound of Hope            M   FE
10.16,1300-1400       TWN Sound of Hope            M   FE
10.16,1400-1500       TWN Sound of Hope            M   FE
10.16,1500-1600       TWN Sound of Hope            M   FE
10.16,1600-1700       TWN Sound of Hope            M   FE
10.16,2100-2130       TWN Sound of Hope            M   FE
10.16,2130-2200       TWN Sound of Hope            M   FE
10.16,2200-2300       TWN Sound of Hope            M   FE
10.16,2300-2400       TWN Sound of Hope            M   FE
10.21,0745-0755 Mo    POL E11 Polish Spy Numbers   E               p
10.21,"1850-1900 We,Sa POL S11a Polish Spy Numbers  R               p"
10.23,0000-2400       ISR 4XZ Israeli Navy Haifa   -CW
10.33,1530-1540 Th    POL E11 Polish Spy Numbers   E               p
10.54,1000-2200       CAN CFH Halifax Radio        -TY NAm         hx
10.54,2200-1000       CAN CFH Halifax Radio        -TY NAm         hx
10.55,0015-0215       AUS VMW Wiluna Met Fax           Oc          w
10.55,0245-0330       AUS VMW Wiluna Met Fax           Oc          w
10.55,0400-0945       AUS VMW Wiluna Met Fax           Oc          w
10.55,1015-1100       AUS VMW Wiluna Met Fax           Oc          w
10.55,1100-1730       AUS VMW Wiluna Met Fax           Oc          w
10.55,1800-1845       AUS VMW Wiluna Met Fax           Oc          w
10.55,1915-2045       AUS VMW Wiluna Met Fax           Oc          w
10.55,2215-2400       AUS VMW Wiluna Met Fax           Oc          w
10.73,"0445-0455 Tu,Th POL S11a Polish Spy Numbers  R               p"
10.82,0000-0100       TWN Sound of Hope            M   FE
10.82,0100-0200       TWN Sound of Hope            M   FE
10.82,0200-1200       TWN Sound of Hope            M   FE
10.82,1200-1300       TWN Sound of Hope            M   FE
10.82,1300-1400       TWN Sound of Hope            M   FE
10.82,1400-1500       TWN Sound of Hope            M   FE
10.82,1500-1600       TWN Sound of Hope            M   FE
10.82,1600-1700       TWN Sound of Hope            M   FE
10.82,2130-2200       TWN Sound of Hope            M   FE
10.82,2200-2300       TWN Sound of Hope            M   FE
10.82,2300-2400       TWN Sound of Hope            M   FE
10.82,2130-1700       CHN CNR1 Jammer/Firedrake    M   FE
10.87,2100-1700       CHN CNR1 Jammer/Firedrake    M   FE
10.87,0000-0100       TWN Sound of Hope            M   FE
10.87,0100-0200       TWN Sound of Hope            M   FE
10.87,0200-1200       TWN Sound of Hope            M   FE
10.87,1200-1300       TWN Sound of Hope            M   FE
10.87,1300-1400       TWN Sound of Hope            M   FE
10.87,1400-1500       TWN Sound of Hope            M   FE
10.87,1500-1600       TWN Sound of Hope            M   FE
10.87,1600-1700       TWN Sound of Hope            M   FE
10.87,2100-2130       TWN Sound of Hope            M   FE
10.87,2130-2200       TWN Sound of Hope            M   FE
10.87,2200-2300       TWN Sound of Hope            M   FE
10.87,2300-2400       TWN Sound of Hope            M   FE
10.87,0000-2400       RUS Channel Marker D         -CW EEu         se
10.87,0000-2400       RUS Channel Marker P         -CW RUS         kl
10.87,0000-2400       RUS Channel Marker S         -CW RUS         sm
10.87,0000-2400       RUS Channel Marker C         -CW RUS         m
10.87,0000-2400       RUS Channel Marker A         -CW RUS         as
10.87,0000-2400       RUS Channel Marker F         -CW FE          vl
10.87,0000-2400       RUS Channel Marker K         -CW FE          pk
10.87,0000-2400       RUS Channel Marker M         -CW FE          mg
10.92,2130-1700       CHN CNR1 Jammer/Firedrake    M   FE
10.92,0000-0100       TWN Sound of Hope            M   FE
10.92,0100-0200       TWN Sound of Hope            M   FE
10.92,0200-1200       TWN Sound of Hope            M   FE
10.92,1200-1300       TWN Sound of Hope            M   FE
10.92,1300-1400       TWN Sound of Hope            M   FE
10.92,1400-1500       TWN Sound of Hope            M   FE
10.92,1500-1600       TWN Sound of Hope            M   FE
10.92,1600-1700       TWN Sound of Hope            M   FE
10.92,2130-2200       TWN Sound of Hope            M   FE
10.92,2200-2300       TWN Sound of Hope            M   FE
10.92,2300-2400       TWN Sound of Hope            M   FE
10.94,2200-1700       CHN CNR1 Jammer/Firedrake    M   FE
10.94,0000-0100       TWN Sound of Hope            M   FE
10.94,0100-0200       TWN Sound of Hope            M   FE
10.94,0200-1200       TWN Sound of Hope            M   FE
10.94,1200-1300       TWN Sound of Hope            M   FE
10.94,1300-1400       TWN Sound of Hope            M   FE
10.94,1400-1500       TWN Sound of Hope            M   FE
10.94,1500-1600       TWN Sound of Hope            M   FE
10.94,2200-2300       TWN Sound of Hope            M   FE
10.94,2300-2400       TWN Sound of Hope            M   FE
10.96,0000-0100       TWN Sound of Hope            M   FE
10.96,0100-0200       TWN Sound of Hope            M   FE
10.96,0200-1200       TWN Sound of Hope            M   FE
10.96,1200-1300       TWN Sound of Hope            M   FE
10.96,1300-1400       TWN Sound of Hope            M   FE
10.96,1400-1500       TWN Sound of Hope            M   FE
10.96,1500-1600       TWN Sound of Hope            M   FE
10.96,1600-1700       TWN Sound of Hope            M   FE
10.96,2130-2200       TWN Sound of Hope            M   FE
10.96,2200-2300       TWN Sound of Hope            M   FE
10.96,2300-2400       TWN Sound of Hope            M   FE
10.96,2130-1700       CHN CNR1 Jammer/Firedrake    M   FE
11.03,0000-0015       AUS VMC Charleville Met Fax      Tas         c
11.03,0015-0215       AUS VMC Charleville Met Fax      Oc          c
11.03,0245-0330       AUS VMC Charleville Met Fax      Oc          c
11.03,0345-0400       AUS VMC Charleville Met Fax      Tas         c
11.03,0400-0500       AUS VMC Charleville Met Fax      Oc          c
11.03,0500-0600       AUS VMC Charleville Met Fax      Tas         c
11.03,0600-0855       AUS VMC Charleville Met Fax      Oc          c
11.03,0900-0955       AUS VMC Charleville Met Fax      Oc          c
11.03,1015-1715       AUS VMC Charleville Met Fax      Oc          c
11.03,1800-1845       AUS VMC Charleville Met Fax      Oc          c
11.03,1915-2045       AUS VMC Charleville Met Fax      Oc          c
11.03,2215-2400       AUS VMC Charleville Met Fax      Oc          c
11.04,0000-2400       D   DWD 2 Pinneberg RTTY     E   Eu          pi
11.09,0600-2000       G   GYA Northwood Meteo Fax      WEu         nw
11.09,0519-1600       HWA KVM70 Fax Honolulu           Oc          nm
11.09,1719-0400       HWA KVM70 Fax Honolulu           Oc          nm
11.09,"0315-0325 Mo,We POL E11 Polish Spy Numbers   E               p"
11.1,0000-2400       CHN CNR1 Jammer/Firedrake    M   FE
11.1,0000-0100       TWN Sound of Hope            M   FE
11.1,0100-0200       TWN Sound of Hope            M   FE
11.1,0200-1200       TWN Sound of Hope            M   FE
11.1,1200-1300       TWN Sound of Hope            M   FE
11.1,1300-1400       TWN Sound of Hope            M   FE
11.1,1400-1500       TWN Sound of Hope            M   FE
11.1,1500-1600       TWN Sound of Hope            M   FE
11.1,2200-2300       TWN Sound of Hope            M   FE
11.1,2300-2400       TWN Sound of Hope            M   FE
11.12,"1815-1825 Fr,Su POL E11 Polish Spy Numbers   E               p"
11.12,2200-1700       CHN CNR1 Jammer/Firedrake    M   FE
11.12,0000-0100       TWN Sound of Hope            M   FE
11.12,0100-0200       TWN Sound of Hope            M   FE
11.12,0200-1200       TWN Sound of Hope            M   FE
11.12,1200-1300       TWN Sound of Hope            M   FE
11.12,1300-1400       TWN Sound of Hope            M   FE
11.12,1400-1500       TWN Sound of Hope            M   FE
11.12,1500-1600       TWN Sound of Hope            M   FE
11.12,1600-1700       TWN Sound of Hope            M   FE
11.12,2200-2300       TWN Sound of Hope            M   FE
11.12,2300-2400       TWN Sound of Hope            M   FE
11.15,2200-1500       CHN CNR1 Jammer/Firedrake    M   FE
11.15,0000-0100       TWN Sound of Hope            M   FE
11.15,0100-0200       TWN Sound of Hope            M   FE
11.15,0200-1200       TWN Sound of Hope            M   FE
11.15,1200-1300       TWN Sound of Hope            M   FE
11.15,1300-1400       TWN Sound of Hope            M   FE
11.15,1400-1500       TWN Sound of Hope            M   FE
11.15,2200-2300       TWN Sound of Hope            M   FE
11.15,2300-2400       TWN Sound of Hope            M   FE
11.18,0000-2400       USA US Air Force Messages    E   NAm
11.18,0000-2400       ISL Reykjavik HFDL (ID3)     -HF NAO         r
11.19,0000-2400       RUS Moscow Aero              R   EEu         m
11.23,0000-2400       CAN Trenton Military         E   NAm         tr
11.25,0000-2400       G   RAF Volmet Military 1    E   Eu          ic
11.28,0000-2400       IRL Shannon Aeradio J        E   NAO         s
11.28,0000-2400       CAN Gander Radio             E   NAO         g
11.28,0000-2400       IRL Shannon Aeradio D        E   NAO         s
11.28,"0000-2400       UZB Tashkent Volmet x20,x50  R   CAs         a"
11.28,0000-2400       USA San Francisco Radio CEP  E   EOc         dx
11.29,0000-2400       CLN Colombo Radio            E   SAs
11.29,0000-2400       IND Chennai Radio            E   SAs
11.3,"0300-1500       RUS Rostov Volmet x25,55     R   CIS         rv"
11.3,0000-2400       LBY Tripoli Radio            E   EAf
11.3,0000-2400       SDN Khartoum Radio           E   EAf         a
11.3,0000-2400       SEY Seychelles Radio         E   EAf
11.3,0000-2400       SOM Mogadishu Radio          E   EAf         ma
11.3,0000-0100       TWN Sound of Hope            M   FE
11.3,0100-0200       TWN Sound of Hope            M   FE
11.3,0200-1200       TWN Sound of Hope            M   FE
11.3,1200-1300       TWN Sound of Hope            M   FE
11.3,1300-1400       TWN Sound of Hope            M   FE
11.3,1400-1500       TWN Sound of Hope            M   FE
11.3,1500-1600       TWN Sound of Hope            M   FE
11.3,1600-1700       TWN Sound of Hope            M   FE
11.3,2100-2130       TWN Sound of Hope            M   FE
11.3,2130-2200       TWN Sound of Hope            M   FE
11.3,2200-2300       TWN Sound of Hope            M   FE
11.3,2300-2400       TWN Sound of Hope            M   FE
11.31,0000-2400       GUM Agana Guam HFDL (ID16)   -HF WOc         h
11.31,0000-2400       USA Boeing Seattle           E   WNA
11.31,0000-2400       AZR Santa Maria Radio E      E   NAO         sm
11.31,0000-2400       USA New York Radio           E   NAO         bg
11.31,0000-2400       HWA Moloka'i HFDL (ID2)      -HF Oc          m
11.32,0000-2400       BOL Santa Cruz HFDL (ID13)   -HF SAm         sz
11.32,"2300-1100       RUS Novosibir Volmet x07,37  R   CIS         nv"
11.32,"0200-1400       RUS Samara Volmet x15,45     R   CIS         sv"
11.32,"0300-1500       RUS Syktyvkar Volmet x00,30  R   CIS         sy"
11.32,0000-2400       RUS Air Force Bear Net       R   RUS         m
11.32,0000-2400       AFS Johannesburg HFDL (ID8)  -HF SAf         j
11.33,0000-2400       USA San Francisco HFDL(ID1)  -HF WNA         dx
11.33,0000-2400       USA New York Radio           E   Car         bg
11.34,0000-2400       CAN Gander Radio C           E   NAO         g
11.34,0000-2400       IRL Shannon Aeradio C        E   NAO         s
11.34,0000-2400       ISL Iceland Radio C          E   NAO
11.34,0000-2400       USA New York Radio           E   NAO         bg
11.34,0000-2400       USA San Francisco R. LDOC    E   Oc          dx
11.35,0600-1800       S   Stockholm Radio (Air)    E   Eu          gr
11.35,1800-0600       S   Stockholm Radio (Air)    E   Eu          gr
11.35,0000-2400       CNR Canarias HFDL (ID17)     -HF WAf         gc
11.35,0000-2400       HWA Moloka'i HFDL (ID2)      -HF Oc          m
11.35,0000-2400       ALS Barrow HFDL (ID9)        -HF NOc         ba
11.36,0000-2400       RUS AF Transport Davlenie    R   EEu         tc
11.36,0000-2400       RUS AF Transport Kasta       R   EEu         to
11.36,0000-2400       RUS AF Transport Klarnetist  R   EEu         to
11.36,0000-2400       RUS AF Transport Korsar      R   EEu         m
11.36,0000-2400       RUS AF Transport Magnetron   R   EEu         sc
11.36,0000-2400       RUS AF Transport Polis       R   EEu         o2
11.36,0000-2400       RUS AF Transport Proselok    R   EEu         ps
11.36,0000-2400       IRL Shannon Aeradio H        E   NAO         s
11.37,0000-2400       ARG Ezeiza Volmet x01        S   SAm         e
11.38,0000-2400       IRL Shannon HFDL (ID7)       -HF NAO         s
11.38,0000-2400       J   Naha Radio CWP           E   WOc         nh
11.38,0000-2400       USA San Francisco Radio CWP  E   WOc         /GUM-b
11.38,0000-2400       USA San Francisco Radio CWP  E   WOc         /HWA-m
11.39,"0000-2400       AUS Australia Volmet x00,30  E   Oc          at"
11.39,"0305-1240       IND Kolkata Volmet x05,x35   E   SAs         kv"
11.39,"0325-1300       IND Mumbai Volmet x25,x55    E   SAs         mv"
11.39,"2250-1225       SNG SingaporeVolmet x20,x50  E   SAs         v"
11.39,"0010-1045       THA Bangkok Volmet x10,x40   E   SAs         bv"
11.39,0000-2400       USA Riverhead HFDL (ID4)     -HF ENA         rh
11.4,0000-2400       USA New York Radio           E   NAO         bg
11.41,2100-1700       CHN CNR1 Jammer/Firedrake    M   FE
11.41,0000-0100       TWN Sound of Hope            M   FE
11.41,0100-0200       TWN Sound of Hope            M   FE
11.41,0200-1200       TWN Sound of Hope            M   FE
11.41,1200-1300       TWN Sound of Hope            M   FE
11.41,1300-1400       TWN Sound of Hope            M   FE
11.41,1400-1500       TWN Sound of Hope            M   FE
11.41,1500-1600       TWN Sound of Hope            M   FE
11.41,1600-1700       TWN Sound of Hope            M   FE
11.41,2100-2130       TWN Sound of Hope            M   FE
11.41,2130-2200       TWN Sound of Hope            M   FE
11.41,2200-2300       TWN Sound of Hope            M   FE
11.41,2300-2400       TWN Sound of Hope            M   FE
11.42,"0000-2400 irr   MEX Hikari FM                E,J WNA         cb"
11.42,"1400-1410 Tu,Fr POL S11a Polish Spy Numbers  R               p"
11.43,0210-0220 Mo    RUS E06 Russian Spy Numbers  E   RUS         c
11.43,1300-1400       TWN Star-Star Bc.Station     M   CHN         y
11.43,"1140-1150 Tu,Fr RUS E07 Russian Spy Numbers  E   RUS         m"
11.44,2000-1700       CHN CNR1 Jammer/Firedrake    M   FE
11.44,0000-0100       TWN Sound of Hope            M   FE
11.44,0100-0200       TWN Sound of Hope            M   FE
11.44,0200-1200       TWN Sound of Hope            M   FE
11.44,1200-1300       TWN Sound of Hope            M   FE
11.44,1300-1400       TWN Sound of Hope            M   FE
11.44,1400-1500       TWN Sound of Hope            M   FE
11.44,1500-1600       TWN Sound of Hope            M   FE
11.44,1600-1700       TWN Sound of Hope            M   FE
11.44,2000-2100       TWN Sound of Hope            M   FE
11.44,2100-2130       TWN Sound of Hope            M   FE
11.44,2130-2200       TWN Sound of Hope            M   FE
11.44,2200-2300       TWN Sound of Hope            M   FE
11.44,2300-2400       TWN Sound of Hope            M   FE
11.46,2100-1700       CHN CNR1 Jammer/Firedrake    M   FE
11.46,0000-0100       TWN Sound of Hope            M   FE
11.46,0100-0200       TWN Sound of Hope            M   FE
11.46,0200-1200       TWN Sound of Hope            M   FE
11.46,1200-1300       TWN Sound of Hope            M   FE
11.46,1300-1400       TWN Sound of Hope            M   FE
11.46,1400-1500       TWN Sound of Hope            M   FE
11.46,1500-1600       TWN Sound of Hope            M   FE
11.46,1600-1700       TWN Sound of Hope            M   FE
11.46,2100-2130       TWN Sound of Hope            M   FE
11.46,2130-2200       TWN Sound of Hope            M   FE
11.46,2200-2300       TWN Sound of Hope            M   FE
11.46,2300-2400       TWN Sound of Hope            M   FE
11.5,2000-1700       CHN CNR1 Jammer/Firedrake    M   FE
11.5,0000-0100       TWN Sound of Hope            M   FE
11.5,0100-0200       TWN Sound of Hope            M   FE
11.5,0200-1200       TWN Sound of Hope            M   FE
11.5,1200-1300       TWN Sound of Hope            M   FE
11.5,1300-1400       TWN Sound of Hope            M   FE
11.5,1400-1500       TWN Sound of Hope            M   FE
11.5,1500-1600       TWN Sound of Hope            M   FE
11.5,1600-1700       TWN Sound of Hope            M   FE
11.5,2000-2100       TWN Sound of Hope            M   FE
11.5,2100-2130       TWN Sound of Hope            M   FE
11.5,2130-2200       TWN Sound of Hope            M   FE
11.5,2200-2300       TWN Sound of Hope            M   FE
11.5,2300-2400       TWN Sound of Hope            M   FE
11.51,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.51,1300-1400       CLA Free North Korea Radio   K   KRE         /UZB
11.51,0400-1600       TUR Turkish Jammer           TU  ME          e
11.52,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.52,0400-1600       TUR Turkish Jammer           TU  ME          e
11.52,2000-1600       CHN CNR1 Jammer/Firedrake    M   CHN
11.52,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.52,0400-1600       TUR Turkish Jammer           TU  ME          e
11.52,0000-0100       TWN Sound of Hope            M   FE
11.52,0100-0200       TWN Sound of Hope            M   FE
11.52,0200-1200       TWN Sound of Hope            M   FE
11.52,1200-1300       TWN Sound of Hope            M   FE
11.52,1300-1400       TWN Sound of Hope            M   FE
11.52,1400-1500       TWN Sound of Hope            M   FE
11.52,1500-1600       TWN Sound of Hope            M   FE
11.52,1600-1700       TWN Sound of Hope            M   FE
11.52,2100-2130       TWN Sound of Hope            M   FE
11.52,2130-2200       TWN Sound of Hope            M   FE
11.52,2200-2300       TWN Sound of Hope            M   FE
11.52,2300-2400       TWN Sound of Hope            M   FE
11.52,0400-0410 Th    RUS E06 Russian Spy Numbers  E   RUS         c
11.53,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.53,0400-1600       TUR Turkish Jammer           TU  ME          e
11.53,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.53,0400-1600       TUR Turkish Jammer           TU  ME          e
11.54,2000-1600       CHN CNR1 Jammer/Firedrake    M   CHN
11.54,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.54,0400-1600       TUR Turkish Jammer           TU  ME          e
11.54,0000-0100       TWN Sound of Hope            M   FE
11.54,0100-0200       TWN Sound of Hope            M   FE
11.54,0200-1200       TWN Sound of Hope            M   FE
11.54,1200-1300       TWN Sound of Hope            M   FE
11.54,1300-1400       TWN Sound of Hope            M   FE
11.54,1400-1500       TWN Sound of Hope            M   FE
11.54,1500-1600       TWN Sound of Hope            M   FE
11.54,2000-2100       TWN Sound of Hope            M   FE
11.54,2100-2130       TWN Sound of Hope            M   FE
11.54,2130-2200       TWN Sound of Hope            M   FE
11.54,2200-2300       TWN Sound of Hope            M   FE
11.54,2300-2400       TWN Sound of Hope            M   FE
11.54,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.54,0400-1600       TUR Turkish Jammer           TU  ME          e
11.54,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.54,0400-1600       TUR Turkish Jammer           TU  ME          e
11.55,0400-1600       CLA Deng Gel                KU  ME          /ARM
11.55,1230-1315 Sa    GUM KTWR Trans World Radio   VN  SEA         m
11.55,1330-1415 Sa    GUM KTWR Trans World Radio   VN  SEA         /PHL-i
11.55,0400-1600       TUR Turkish Jammer           TU  ME          e
11.55,0000-0100       TWN Sound of Hope            M   FE
11.55,0100-0200       TWN Sound of Hope            M   FE
11.55,0200-1200       TWN Sound of Hope            M   FE
11.55,1200-1300       TWN Sound of Hope            M   FE
11.55,1300-1400       TWN Sound of Hope            M   FE
11.55,1400-1500       TWN Sound of Hope            M   FE
11.55,2100-2130       TWN Sound of Hope            M   FE
11.55,2130-2200       TWN Sound of Hope            M   FE
11.55,2200-2300       TWN Sound of Hope            M   FE
11.55,2300-2400       TWN Sound of Hope            M   FE
11.56,1400-1500       CLA North Korea Reform R.    K   KRE         /UZB
11.56,2000-2100       CLA North Korea Reform R.    K   KRE         /UZB
11.58,2100-1600       CHN CNR1 Jammer/Firedrake    M   FE
11.58,0000-0100       TWN Sound of Hope            M   FE
11.58,0100-0200       TWN Sound of Hope            M   FE
